# Taskr #209 - the EXTRACTION endpoint round trip measured from a phone, 2026-09-08.
#
# Device      Samsung SM-S918U, Android 16, curl 8.15.0-DEV in `adb shell` over USB.
#             No browser, so nothing here is attributable to one or to a service worker.
# Function    extract-description, deployment v2, ezbr_sha256
#             46499420bb93ab3e9988b20485db12a9e648eaaaa3600a496bc2cf86aa57787a,
#             deployed 2026-09-08T01:47:25.642Z by this story.
# Analysis    docs/hosting-decision.md, section "Measured 2026-09-08".
#
# #205 measured the same path with `provision-member`, which refuses at its first
# authorization check - so it timed everything EXCEPT the endpoint own work and the
# provider call. This measures the whole thing, keeping #205 method so the two are
# comparable. Each cycle fires three calls seconds apart on one network:
#
#   level 1  no Authorization header       the GATEWAY refuses. Nothing boots.
#   level 2  publishable key only          the function boots and refuses.
#   level 3  real session + own household   the full extraction, provider included.
#
# So 3 minus 2 is the endpoint own work plus the provider, as a per-sample
# subtraction rather than an estimate, and 2 minus 1 is the boot. Levels are
# classified from the body that came back, never from which call was meant to be
# sent: 0 of 252 came back mislabelled.
#
# Networks    wifi  = first pass, on a DEGRADED link - read its level 1 control before
#                     reading anything else in it (p95 3698 ms against the other passes
#                     571 and 1403). Kept rather than discarded: it is a real evening.
#             cellular = wifi switched off for the pass and switched back on after, because
#                     `curl --interface rmnet_dataN` binds but has no route from the adb
#                     shell UID on this build ("Network is unreachable"), so #205 method of
#                     reaching both networks without touching device state did not reproduce.
#             wifi2 = second wifi pass, after the link settled.
#             The public egress address differed between the wifi and cellular passes
#             (sha256 a39562036a08 against 850410d5a84e), which is the control that the two
#             really are two networks. The addresses themselves are this household broadband
#             and cellular IPs and this repo is public, so no address column exists at all -
#             #205 carried one and redacted it; this one was never collected.
#
# Each pass ran against its OWN fixture household, created through the seeded test
# account and deleted afterwards with the absence read back. 84 level-3 calls in all,
# 28 per household, inside the 60-per-household-per-hour bound in handler.ts RATE_LIMIT.
#
# Times are seconds as curl reports them. The body column is truncated at 140 bytes.
# There are exactly three distinct bodies across all 252 rows.
#
i	ts_utc	network	level	http	dns_s	connect_s	appconnect_s	starttransfer_s	total_s	body
1	2026-09-08T01:58:35Z	wifi	1	401	0.005936	0.071499	0.471373	0.662750	0.663458	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-08T01:58:36Z	wifi	2	401	0.005189	0.115254	0.174716	0.571762	0.572503	{"error":"Sign in first."}
1	2026-09-08T01:58:37Z	wifi	3	200	0.007084	0.067897	0.188360	1.499772	1.500129	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
2	2026-09-08T01:58:38Z	wifi	1	401	0.006493	0.052135	0.115408	1.200297	1.200792	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
2	2026-09-08T01:58:39Z	wifi	2	401	0.006868	0.056450	0.200268	0.534424	0.534746	{"error":"Sign in first."}
2	2026-09-08T01:58:41Z	wifi	3	200	0.005178	0.232186	0.347269	1.748527	1.751264	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
3	2026-09-08T01:58:42Z	wifi	1	401	0.134254	0.177717	0.663129	0.831738	0.834755	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
3	2026-09-08T01:58:42Z	wifi	2	401	0.020711	0.184396	0.235061	0.707520	0.707683	{"error":"Sign in first."}
3	2026-09-08T01:58:46Z	wifi	3	200	1.358254	1.827907	2.433916	3.835165	3.835734	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
4	2026-09-08T01:58:49Z	wifi	1	401	0.006699	1.493523	2.448758	3.049488	3.049821	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
4	2026-09-08T01:58:51Z	wifi	2	401	0.008775	0.154386	0.669531	0.975539	0.975943	{"error":"Sign in first."}
4	2026-09-08T01:58:52Z	wifi	3	200	0.007417	0.116007	0.182584	1.397984	1.398478	{"kind":"capacity","minutesByPerson":{"Placeholder Organizer":90}}
5	2026-09-08T01:58:52Z	wifi	1	401	0.003336	0.072179	0.136917	0.290929	0.291286	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
