# Taskr #205 - provision-member round trip measured from a phone, 2026-09-07.
#
# Device      Samsung SM-S918U, Android 16, curl 8.15.0 under `adb shell`. No browser.
# Function    provision-member, deployment v8, ezbr_sha256
#             c7c2e6f4f2afafe5ce05c1948ece9f3fd517228fcbbec26b5e9826ba7f0efd73,
#             deployed 2026-09-04T22:31:12.914Z; source last moved by commit dbe6bbd.
# Analysis    docs/hosting-decision.md, section "Measured 2026-09-07".
#
# Every row is a REFUSAL. auth=key sends the publishable key and reaches the
# function (401 {"error":"Sign in first."}); auth=none sends no Authorization
# header and is refused by the GATEWAY one hop short of it
# (401 {"code":"UNAUTHORIZED_NO_AUTH_HEADER"}), so it times the network without
# booting anything. `reached` is classified from the body that came back, not
# from which call was intended. No write, no credential minted, no provider call.
#
# The per-pass public egress addresses are REDACTED: they are the owner's home
# and cellular IPs and this repo is public. They were recorded at capture time
# and differed between the wifi and cellular passes, which is the control that
# the two networks really are two networks.
#
# Times are seconds as curl reports them. idle_s is the idle ACTUALLY SLEPT
# before a cold window, 0 where it does not apply.
#
# pass  1,2 = warm (wireless debugging); 3 = cold schedule, six 930 s idle
#             windows over USB, detached on the phone.
# phase warm | first-after-idle | reused | control | cold | warm-after-cold
#
pass	ts_utc	network	phase	auth	reached	idle_s	http	dns_s	connect_s	appconnect_s	starttransfer_s	total_s	remote_ip	num_connects	body
# 1 network=wifi iface=wlan0 egress=<redacted> started=2026-09-07T04:19:59Z
1	2026-09-07T04:20:01Z	wifi	first-after-idle	key	function	0	401	0.087436	0.196968	0.352347	1.695302	1.695540	104.18.38.10	1	{"error":"Sign in first."}
1	2026-09-07T04:20:03Z	wifi	warm	key	function	0	401	0.041972	0.074838	0.145455	0.497279	0.497534	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:05Z	wifi	warm	key	function	0	401	0.007279	0.167380	0.251106	0.462737	0.462898	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:05Z	wifi	warm	none	gateway	0	401	0.009433	0.053734	0.132171	0.263043	0.263143	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:20:07Z	wifi	warm	key	function	0	401	0.009965	0.127564	0.204459	0.551379	0.551484	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:08Z	wifi	warm	key	function	0	401	0.006143	0.072482	0.385223	0.605022	0.605124	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:10Z	wifi	warm	key	function	0	401	0.006504	0.059940	0.126771	0.379034	0.379334	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:10Z	wifi	warm	none	gateway	0	401	0.008490	0.064827	0.106379	0.266159	0.266337	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:20:12Z	wifi	warm	key	function	0	401	0.009341	0.088417	0.140729	0.438779	0.439057	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:14Z	wifi	warm	key	function	0	401	0.009768	0.308114	0.429929	0.674970	0.675180	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:16Z	wifi	warm	key	function	0	401	0.007356	0.103415	0.224663	0.547953	0.548289	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:16Z	wifi	warm	none	gateway	0	401	0.012831	0.061169	0.116162	0.250935	0.251219	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:20:17Z	wifi	warm	key	function	0	401	0.005059	0.061067	0.124855	0.416638	0.416708	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:19Z	wifi	warm	key	function	0	401	0.007015	0.205391	0.516158	0.719758	0.720279	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:21Z	wifi	warm	key	function	0	401	0.008448	0.040076	0.115313	0.485107	0.485319	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:21Z	wifi	warm	none	gateway	0	401	0.009907	0.126754	0.244125	0.365113	0.365233	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:20:23Z	wifi	warm	key	function	0	401	0.006207	0.093940	0.137816	0.425244	0.425366	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:25Z	wifi	warm	key	function	0	401	0.010164	0.126261	0.188083	0.485691	0.486021	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:26Z	wifi	warm	key	function	0	401	0.008510	0.047455	0.095492	0.318611	0.318837	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:27Z	wifi	warm	none	gateway	0	401	0.012508	0.055740	0.107262	0.216465	0.216690	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:20:28Z	wifi	warm	key	function	0	401	0.007483	0.075378	0.138266	0.456681	0.456786	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:30Z	wifi	warm	key	function	0	401	0.010073	0.334210	0.410244	0.744048	0.744400	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:32Z	wifi	warm	key	function	0	401	0.136620	0.261733	0.330340	0.591479	0.591709	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:32Z	wifi	warm	none	gateway	0	401	0.034498	0.072763	0.146519	0.327444	0.327617	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:20:34Z	wifi	warm	key	function	0	401	0.005866	0.123133	0.239122	0.544402	0.544528	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:36Z	wifi	warm	key	function	0	401	0.007316	0.136839	0.197074	0.484163	0.484287	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:37Z	wifi	warm	key	function	0	401	0.008686	0.145327	0.202132	0.478684	0.478787	172.64.149.246	1	{"error":"Sign in first."}
